half,channel_net,sensor_ref,mux_ref,mux_pin,x_mm,y_mm,rot_deg
L,HE_L01,HEL1,AML1,13,11.43,9.525,0.0
L,HE_L02,HEL2,AML1,14,30.48,9.525,0.0
L,HE_L03,HEL3,AML1,15,49.53,9.525,0.0
L,HE_L04,HEL4,AML1,12,68.602,9.545,-0.12
L,HE_L05,HEL5,AML1,1,88.262,9.933,-2.19
L,HE_L06,HEL6,AML1,5,109.189,11.233,-5.01
L,HE_L07,HEL7,AML1,2,130.109,13.35,-6.5
L,HE_L08,HEL8,AML1,4,14.288,28.575,0.0
L,HE_L09,HEL9,AML2,13,38.1,28.575,0.0
L,HE_L10,HEL10,AML2,14,57.15,28.575,0.0
L,HE_L11,HEL11,AML2,15,76.314,28.685,-0.67
L,HE_L12,HEL12,AML2,12,96.537,29.373,-3.3
L,HE_L13,HEL13,AML2,1,117.631,31.071,-5.97
L,HE_L14,HEL14,AML2,5,138.015,33.301,-6.5
L,HE_L15,HEL15,AML2,2,13.335,47.625,0.0
L,HE_L16,HEL16,AML2,4,41.91,47.625,0.0
L,HE_L17,HEL17,AML3,13,60.96,47.625,0.0
L,HE_L18,HEL18,AML3,14,80.195,47.806,-1.1
L,HE_L19,HEL19,AML3,15,100.731,48.682,-3.87
L,HE_L20,HEL20,AML3,12,121.818,50.545,-6.27
L,HE_L21,HEL21,AML3,1,15.716,66.675,0.0
L,HE_L22,HEL22,AML3,5,46.673,66.675,0.0
L,HE_L23,HEL23,AML3,2,65.729,66.68,-0.03
L,HE_L24,HEL24,AML3,4,85.197,66.98,-1.77
L,HE_L25,HEL25,AML4,13,106.014,68.118,-4.58
L,HE_L26,HEL26,AML4,14,127.016,70.153,-6.47
L,HE_L27,HEL27,AML4,15,10.954,85.725,0.0
L,HE_L28,HEL29,AML4,12,27.622,85.725,0.0
L,HE_L28,HEL30,AML4,12,41.91,85.725,0.0
L,HE_L29,HEL31,AML4,1,46.673,85.725,0.0
L,HE_L30,HEL32,AML4,5,85.064,86.164,-1.78
L,HE_L31,HEL33,AML4,2,123.043,88.956,-5.96
R,HE_R01,HER6,AMR1,13,211.777,9.934,2.19
R,HE_R02,HER1,AMR1,14,231.436,9.545,0.12
R,HE_R03,HER2,AMR1,15,250.508,9.525,0.0
R,HE_R04,HER3,AMR1,12,269.558,9.525,0.0
R,HE_R04,HER4,AMR1,12,279.083,9.525,0.0
R,HE_R05,HER5,AMR1,1,288.608,9.525,0.0
R,HE_R06,HER7,AMR1,5,190.848,11.232,5.01
R,HE_R07,HER8,AMR1,2,169.928,13.35,6.5
R,HE_R08,HER13,AMR1,4,203.501,29.373,3.3
R,HE_R09,HER12,AMR2,13,223.725,28.685,0.67
R,HE_R10,HER9,AMR2,14,242.888,28.575,0.0
R,HE_R11,HER10,AMR2,15,261.938,28.575,0.0
R,HE_R12,HER11,AMR2,12,285.75,28.575,0.0
R,HE_R13,HER14,AMR2,1,182.406,31.072,5.97
R,HE_R14,HER15,AMR2,5,162.024,33.301,6.5
R,HE_R15,HER19,AMR2,2,219.843,47.806,1.1
R,HE_R16,HER16,AMR2,4,239.078,47.625,0.0
R,HE_R17,HER17,AMR3,13,258.127,47.625,0.0
R,HE_R18,HER18,AMR3,14,284.321,47.625,0.0
R,HE_R19,HER20,AMR3,15,199.307,48.683,3.87
R,HE_R20,HER21,AMR3,12,178.22,50.546,6.27
R,HE_R21,HER27,AMR3,1,214.841,66.98,1.77
R,HE_R22,HER22,AMR3,5,234.309,66.68,0.03
R,HE_R23,HER23,AMR3,2,253.365,66.675,0.0
R,HE_R24,HER24,AMR3,4,272.415,66.675,0.0
R,HE_R25,HER25,AMR4,13,284.321,66.675,0.0
R,HE_R25,HER26,AMR4,13,293.846,66.675,0.0
R,HE_R26,HER28,AMR4,14,194.023,68.118,4.58
R,HE_R27,HER29,AMR4,15,173.023,70.153,6.47
R,HE_R28,HER35,AMR4,12,214.973,86.163,1.78
R,HE_R29,HER30,AMR4,1,255.746,85.725,0.0
R,HE_R30,HER32,AMR4,5,272.415,85.725,0.0
R,HE_R30,HER33,AMR4,5,286.703,85.725,0.0
R,HE_R31,HER34,AMR4,2,291.465,85.725,0.0
R,HE_R32,HER36,AMR4,4,176.994,88.958,5.96
