daughter_pin,left_half_pin,right_half_pin,net,direction,notes
1,12,1,+3V3A,daughterboard -> half,"analog rail, from the XC6206"
2,11,2,GND,common,
3,10,3,MUX_A0,daughterboard -> half,"mux address, shared by both halves"
4,9,4,MUX_A1,daughterboard -> half,"mux address, shared by both halves"
5,8,5,MUX_A2,daughterboard -> half,"mux address, shared by both halves"
6,7,6,GND,common,
7,6,7,ADC_x1,half -> daughterboard,"analog, keep the adjacent ground"
8,5,8,GND,common,
9,4,9,ADC_x2,half -> daughterboard,"analog, keep the adjacent ground"
10,3,10,GND,common,
11,2,11,ADC_x3,half -> daughterboard,"analog, keep the adjacent ground"
12,1,12,ADC_x4,half -> daughterboard,"analog, keep the adjacent ground"
