Comment,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,LCSC Part #,Assembly Method
0.5A,F1,F1_Fuse_0805_2012Metric,1,BHFUSE,BSMD0805-050-24V,C910822,JLCPCB SMT
100n,"C5,C6,C7,C9,C11",C1_C_0402_1005Metric,5,Samsung,CL05B104KO5NNNC,C1525,JLCPCB SMT
10u,"C1,C8",C148_C_0603_1608Metric,2,CCTC,TCC0603X5R106M6R3CT,C380318,JLCPCB SMT
12MHz,Y1,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Yangxing,X322512MSB4SI,C9002,JLCPCB SMT
12k,"R1,R4",R3_R_0402_1005Metric,2,UNI-ROYAL,0402WGF1202TCE,C25752,JLCPCB SMT
1u,"C2,C10",C148_C_0603_1608Metric,2,Murata,GRM188R71A105KA61D,C97888,JLCPCB SMT
2.2u,"C12,C13,C14,C15",C148_C_0603_1608Metric,4,Samsung,CL10B225KP8NFNC,C3905270,JLCPCB SMT
30p,"C3,C4",C1_C_0402_1005Metric,2,CCTC,TCC0402C0G300J500AT,C466228,JLCPCB SMT
5.1k,"R2,R3",R3_R_0402_1005Metric,2,UNI-ROYAL,0402WGF5101TCE,C25905,JLCPCB SMT
AT32F405RCT7,U1,U4_LQFP-64_10x10mm_P0.5mm,1,Artery,AT32F405RCT7,C47090415,JLCPCB SMT
FFC_12P,"J2,J3",FFC_12P_1.00mm_TopContact,2,BOOMELE,1.0-12P,C20111,JLCPCB SMT
TLV75733PDBV,U3,U2_SOT-23-5,1,Texas Instruments,TLV75733PDBVR,C485517,JLCPCB SMT
TS-1187A,"SW1,SW2",SW1_SW_Push_1P1T_XKB_TS-1187A,2,XKB,TS-1187A-B-A-B,C318884,JLCPCB SMT
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO,TYPE-C-31-M-12,C165948,JLCPCB SMT
USBLC6-2SC6,U2,U1_SOT-23-6,1,STMicroelectronics,USBLC6-2SC6,C7519,JLCPCB SMT
XC6206P332MR,U4,U3_SOT-23-3,1,Torex,XC6206P332MR-G,C5446,JLCPCB SMT
