Designator,Mid X,Mid Y,Layer,Rotation
C1,202.209000,-0.736700,Top,0.000000
C10,188.509000,-19.036700,Bottom,0.000000
C11,184.009000,-19.036700,Bottom,0.000000
C12,203.009000,-3.036700,Bottom,0.000000
C13,201.209000,-0.736700,Bottom,0.000000
C14,174.009000,-18.036700,Bottom,0.000000
C15,194.009000,-19.036700,Bottom,0.000000
C2,201.209000,-13.236700,Top,0.000000
C3,180.009000,-19.036700,Bottom,0.000000
C4,182.009000,-19.036700,Bottom,0.000000
C5,177.009000,-4.636700,Bottom,0.000000
C6,188.809000,-11.536700,Bottom,0.000000
C7,176.809000,-2.636700,Bottom,0.000000
C8,189.509000,-9.036700,Bottom,0.000000
C9,186.009000,-19.036700,Bottom,0.000000
F1,200.209000,2.763300,Top,0.000000
J1,192.209000,4.113300,Top,180.000000
J2,157.509000,-9.236700,Top,-90.000000
J3,208.909000,-9.236700,Top,90.000000
R1,191.209000,-7.236700,Top,0.000000
R2,187.209000,-3.236700,Top,0.000000
R3,194.209000,-15.236700,Top,0.000000
R4,176.809000,-1.236700,Bottom,90.000000
SW1,170.709000,2.763300,Top,0.000000
SW2,166.709000,-3.236700,Top,0.000000
U1,181.709000,-9.236700,Top,0.000000
U2,192.709000,-3.736700,Top,0.000000
U3,198.709000,-3.736700,Top,0.000000
U4,170.709000,-13.236700,Top,0.000000
Y1,170.709000,-8.236700,Top,0.000000
