Comment,Designator,Footprint,LCSC Part #,Manufacturer,Manufacturer Part Number
0.5A,F1,F1_Fuse_0805_2012Metric,C910822,BHFUSE,BSMD0805-050-24V
100n,"C5,C6,C7,C9,C11",C1_C_0402_1005Metric,C1525,Samsung,CL05B104KO5NNNC
10u,"C1,C8",C148_C_0603_1608Metric,C380318,CCTC,TCC0603X5R106M6R3CT
12MHz,Y1,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,Yangxing,X322512MSB4SI
12k,"R1,R4",R3_R_0402_1005Metric,C25752,UNI-ROYAL,0402WGF1202TCE
1u,"C2,C10",C148_C_0603_1608Metric,C97888,Murata,GRM188R71A105KA61D
2.2u,"C12,C13,C14,C15",C148_C_0603_1608Metric,C3905270,Samsung,CL10B225KP8NFNC
30p,"C3,C4",C1_C_0402_1005Metric,C466228,CCTC,TCC0402C0G300J500AT
5.1k,"R2,R3",R3_R_0402_1005Metric,C25905,UNI-ROYAL,0402WGF5101TCE
AT32F405RCT7,U1,U4_LQFP-64_10x10mm_P0.5mm,C47090415,Artery,AT32F405RCT7
FFC_12P,"J2,J3",FFC_12P_1.00mm_TopContact,C20111,BOOMELE,1.0-12P
TLV75733PDBV,U3,U2_SOT-23-5,C485517,Texas Instruments,TLV75733PDBVR
TS-1187A,"SW1,SW2",SW1_SW_Push_1P1T_XKB_TS-1187A,C318884,XKB,TS-1187A-B-A-B
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,HRO,TYPE-C-31-M-12
USBLC6-2SC6,U2,U1_SOT-23-6,C7519,STMicroelectronics,USBLC6-2SC6
XC6206P332MR,U4,U3_SOT-23-3,C5446,Torex,XC6206P332MR-G
