Designator,Mid X,Mid Y,Layer,Rotation
AMR1,183.209000,-67.478000,Bottom,90.000000
AMR2,205.709000,-65.978000,Bottom,90.000000
AMR3,244.209000,-64.978000,Bottom,90.000000
AMR4,275.209000,-52.978000,Bottom,90.000000
CMR1,191.209000,-71.978000,Bottom,0.000000
CMR2,212.209000,-71.978000,Bottom,0.000000
CMR3,256.209000,-62.978000,Bottom,0.000000
CMR4,283.209000,-55.978000,Bottom,0.000000
CR10A,255.338000,-21.675000,Bottom,0.000000
CR10B,268.538000,-35.475000,Bottom,0.000000
CR11A,279.150000,-21.675000,Bottom,0.000000
CR11B,292.350000,-35.475000,Bottom,0.000000
CR12A,217.045400,-21.862100,Bottom,-0.665000
CR12B,230.404600,-35.507900,Bottom,-0.665000
CR13A,196.514500,-22.864600,Bottom,-3.302000
CR13B,210.487500,-35.881400,Bottom,-3.302000
CR14A,175.124000,-24.896000,Bottom,-5.971000
CR14B,189.688000,-37.248000,Bottom,-5.971000
CR15A,154.685300,-27.192500,Bottom,-6.500000
CR15B,169.362700,-39.409500,Bottom,-6.500000
CR16A,232.478000,-40.725000,Bottom,0.000000
CR16B,245.678000,-54.525000,Bottom,0.000000
CR17A,251.527000,-40.725000,Bottom,0.000000
CR17B,264.727000,-54.525000,Bottom,0.000000
CR18A,277.721000,-40.725000,Bottom,0.000000
CR18B,290.921000,-54.525000,Bottom,0.000000
CR19A,213.111500,-41.034200,Bottom,-1.102000
CR19B,226.574500,-54.577800,Bottom,-1.102000
CR1A,224.821300,-2.659100,Bottom,-0.122000
CR1B,238.050700,-16.430900,Bottom,-0.122000
CR20A,192.256500,-42.244100,Bottom,-3.869000
CR20B,206.357500,-55.121900,Bottom,-3.869000
CR21A,170.906100,-44.407800,Bottom,-6.268000
CR21B,185.533900,-56.684200,Bottom,-6.268000
CR22A,227.705400,-59.783500,Bottom,-0.030000
CR22B,240.912600,-73.576500,Bottom,-0.030000
CR23A,246.765000,-59.775000,Bottom,0.000000
CR23B,259.965000,-73.575000,Bottom,0.000000
CR25A,277.721000,-59.775000,Bottom,0.000000
CR25B,290.921000,-73.575000,Bottom,0.000000
CR27A,208.030800,-60.287400,Bottom,-1.772000
CR27B,221.651200,-73.672600,Bottom,-1.772000
CR28A,186.892800,-61.767400,Bottom,-4.583000
CR28B,201.153200,-74.468600,Bottom,-4.583000
CR29A,165.687600,-64.040500,Bottom,-6.469000
CR29B,180.358400,-76.265500,Bottom,-6.469000
CR2A,243.908000,-2.625000,Bottom,0.000000
CR2B,257.108000,-16.425000,Bottom,0.000000
CR30A,259.800000,-87.000000,Bottom,0.000000
CR30B,259.800000,-83.000000,Bottom,0.000000
CR33A,280.103000,-78.825000,Bottom,0.000000
CR33B,293.303000,-92.625000,Bottom,0.000000
CR35A,208.162100,-79.471100,Bottom,-1.778000
CR35B,221.783900,-92.854900,Bottom,-1.778000
CR36A,169.713800,-82.780000,Bottom,-5.955000
CR36B,184.274200,-95.136000,Bottom,-5.955000
CR4A,272.483000,-2.625000,Bottom,0.000000
CR4B,285.683000,-16.425000,Bottom,0.000000
CR6A,204.918700,-3.290600,Bottom,-2.185000
CR6B,218.635300,-16.577400,Bottom,-2.185000
CR7A,183.670400,-4.935000,Bottom,-5.012000
CR7B,198.025600,-17.529000,Bottom,-5.012000
CR8A,162.589300,-7.241500,Bottom,-6.500000
CR8B,177.266700,-19.458500,Bottom,-6.500000
CR9A,236.288000,-21.675000,Bottom,0.000000
CR9B,249.488000,-35.475000,Bottom,0.000000
HER1,231.436000,-9.545000,Bottom,-0.122000
HER10,261.938000,-28.575000,Bottom,0.000000
HER11,285.750000,-28.575000,Bottom,0.000000
HER12,223.725000,-28.685000,Bottom,-0.665000
HER13,203.501000,-29.373000,Bottom,-3.302000
HER14,182.406000,-31.072000,Bottom,-5.971000
HER15,162.024000,-33.301000,Bottom,-6.500000
HER16,239.078000,-47.625000,Bottom,0.000000
HER17,258.127000,-47.625000,Bottom,0.000000
HER18,284.321000,-47.625000,Bottom,0.000000
HER19,219.843000,-47.806000,Bottom,-1.102000
HER2,250.508000,-9.525000,Bottom,0.000000
HER20,199.307000,-48.683000,Bottom,-3.869000
HER21,178.220000,-50.546000,Bottom,-6.268000
HER22,234.309000,-66.680000,Bottom,-0.030000
HER23,253.365000,-66.675000,Bottom,0.000000
HER25,284.321000,-66.675000,Bottom,0.000000
HER27,214.841000,-66.980000,Bottom,-1.772000
HER28,194.023000,-68.118000,Bottom,-4.583000
HER29,173.023000,-70.153000,Bottom,-6.469000
HER30,255.746000,-85.725000,Bottom,90.000000
HER33,286.703000,-85.725000,Bottom,0.000000
HER35,214.973000,-86.163000,Bottom,-1.778000
HER36,176.994000,-88.958000,Bottom,-5.955000
HER4,279.083000,-9.525000,Bottom,0.000000
HER6,211.777000,-9.934000,Bottom,-2.185000
HER7,190.848000,-11.232000,Bottom,-5.012000
HER8,169.928000,-13.350000,Bottom,-6.500000
HER9,242.888000,-28.575000,Bottom,0.000000
PTR1,154.418000,-56.000000,Bottom,90.000000
