Comment,Board-qualified Designators,Footprint,Quantity per Keyboard,Manufacturer,Manufacturer Part Number,LCSC Part #,Assembly Method
0.5A,Controller:F1,F1_Fuse_0805_2012Metric,1,BHFUSE,BSMD0805-050-24V,C910822,JLCPCB SMT
100n,"Controller:C11,Controller:C5,Controller:C6,Controller:C7,Controller:C9,Left:CL10A,Left:CL11A,Left:CL12A,Left:CL13A,Left:CL14A,Left:CL15A,Left:CL16A,Left:CL17A,Left:CL18A,Left:CL19A,Left:CL1A,Left:CL20A,Left:CL21A,Left:CL22A,Left:CL23A,Left:CL24A,Left:CL25A,Left:CL26A,Left:CL27A,Left:CL2A,Left:CL30A,Left:CL32A,Left:CL33A,Left:CL3A,Left:CL4A,Left:CL5A,Left:CL6A,Left:CL7A,Left:CL8A,Left:CL9A,Left:CML1,Left:CML2,Left:CML3,Left:CML4,Right:CMR1,Right:CMR2,Right:CMR3,Right:CMR4,Right:CR10A,Right:CR11A,Right:CR12A,Right:CR13A,Right:CR14A,Right:CR15A,Right:CR16A,Right:CR17A,Right:CR18A,Right:CR19A,Right:CR1A,Right:CR20A,Right:CR21A,Right:CR22A,Right:CR23A,Right:CR25A,Right:CR27A,Right:CR28A,Right:CR29A,Right:CR2A,Right:CR30A,Right:CR33A,Right:CR35A,Right:CR36A,Right:CR4A,Right:CR6A,Right:CR7A,Right:CR8A,Right:CR9A",C1_C_0402_1005Metric,72,Samsung,CL05B104KO5NNNC,C1525,JLCPCB SMT
10u,"Controller:C1,Controller:C8",C148_C_0603_1608Metric,2,CCTC,TCC0603X5R106M6R3CT,C380318,JLCPCB SMT
12MHz,Controller:Y1,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Yangxing,X322512MSB4SI,C9002,JLCPCB SMT
12k,"Controller:R1,Controller:R4",R3_R_0402_1005Metric,2,UNI-ROYAL,0402WGF1202TCE,C25752,JLCPCB SMT
1u,"Controller:C10,Controller:C2",C148_C_0603_1608Metric,2,Murata,GRM188R71A105KA61D,C97888,JLCPCB SMT
2.2u,"Controller:C12,Controller:C13,Controller:C14,Controller:C15",C148_C_0603_1608Metric,4,Samsung,CL10B225KP8NFNC,C3905270,JLCPCB SMT
30p,"Controller:C3,Controller:C4",C1_C_0402_1005Metric,2,CCTC,TCC0402C0G300J500AT,C466228,JLCPCB SMT
4.7n,"Left:CL10B,Left:CL11B,Left:CL12B,Left:CL13B,Left:CL14B,Left:CL15B,Left:CL16B,Left:CL17B,Left:CL18B,Left:CL19B,Left:CL1B,Left:CL20B,Left:CL21B,Left:CL22B,Left:CL23B,Left:CL24B,Left:CL25B,Left:CL26B,Left:CL27B,Left:CL2B,Left:CL30B,Left:CL32B,Left:CL33B,Left:CL3B,Left:CL4B,Left:CL5B,Left:CL6B,Left:CL7B,Left:CL8B,Left:CL9B,Right:CR10B,Right:CR11B,Right:CR12B,Right:CR13B,Right:CR14B,Right:CR15B,Right:CR16B,Right:CR17B,Right:CR18B,Right:CR19B,Right:CR1B,Right:CR20B,Right:CR21B,Right:CR22B,Right:CR23B,Right:CR25B,Right:CR27B,Right:CR28B,Right:CR29B,Right:CR2B,Right:CR30B,Right:CR33B,Right:CR35B,Right:CR36B,Right:CR4B,Right:CR6B,Right:CR7B,Right:CR8B,Right:CR9B",C1_C_0402_1005Metric,59,Murata,GRM1555C1H472JE01D,C1518204,JLCPCB SMT
5.1k,"Controller:R2,Controller:R3",R3_R_0402_1005Metric,2,UNI-ROYAL,0402WGF5101TCE,C25905,JLCPCB SMT
