Comment,Designator,Footprint,LCSC Part #,Manufacturer,Manufacturer Part Number
100n,"CMR1,CMR2,CMR3,CMR4,CR1A,CR2A,CR4A,CR6A,CR7A,CR8A,CR9A,CR10A,CR11A,CR12A,CR13A,CR14A,CR15A,CR16A,CR17A,CR18A,CR19A,CR20A,CR21A,CR22A,CR23A,CR24A,CR26A,CR27A,CR28A,CR29A,CR30A,CR32A,CR34A,CR35A,CR36A",C1_C_0402_1005Metric,C1525,Samsung,CL05B104KO5NNNC
4.7n,"CR1B,CR2B,CR4B,CR6B,CR7B,CR8B,CR9B,CR10B,CR11B,CR12B,CR13B,CR14B,CR15B,CR16B,CR17B,CR18B,CR19B,CR20B,CR21B,CR22B,CR23B,CR24B,CR26B,CR27B,CR28B,CR29B,CR30B,CR32B,CR34B,CR35B,CR36B",C1_C_0402_1005Metric,C1518204,Murata,GRM1555C1H472JE01D
856-10-012-30-051000,PTR1,MillMax_856-10-012-30-051000,,Mill-Max,856-10-012-30-051000
MT9102ET,"HER1,HER2,HER6,HER7,HER8,HER9,HER10,HER12,HER13,HER14,HER15,HER16,HER17,HER19,HER20,HER21,HER22,HER23,HER24,HER27,HER28,HER29,HER32,HER34",HE_KEY_1.00u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,HER26,HE_KEY_1.25u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,"HER11,HER35",HE_KEY_1.50u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,HER18,HE_KEY_1.75u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,HER4,HE_KEY_2.00u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,HER36,HE_KEY_2.25u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,HER30,HE_SHARED_MIDPOINT,C5447698,NOVOSENSE,MT9102ET
SN74LV4051A,"AMR1,AMR2,AMR3,AMR4",AM1_SOIC-16_3.9x9.9mm_P1.27mm,C7792,Texas Instruments,SN74LV4051AD
