Comment,Designator,Footprint,LCSC Part #
0.5A,F1,F1_Fuse_0805_2012Metric,C910822
100n,"C5,C6,C7,C9,C11,C16,C17",C1_C_0402_1005Metric,C1525
10u,"C1,C8",C148_C_0603_1608Metric,C380318
12MHz,Y1,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
12k,"R1,R4",R3_R_0402_1005Metric,C25752
1u,"C2,C10",C148_C_0603_1608Metric,C97888
2.2u,"C12,C13,C14,C15",C148_C_0603_1608Metric,C3905270
30p,"C3,C4",C1_C_0402_1005Metric,C466228
470R,"R5,R6",R3_R_0402_1005Metric,C25117
5.1k,"R2,R3",R3_R_0402_1005Metric,C25905
AT32F405RCT7,U1,U4_LQFP-64_10x10mm_P0.5mm,C47090415
FFC_12P,"J2,J3",FFC_12P_1.00mm_TopContact,C20111
SN74AHCT1G125,"U5,U6",U2_SOT-23-5,C7484
TLV75733PDBV,U3,U2_SOT-23-5,C485517
TS-1187A,"SW1,SW2",SW1_SW_Push_1P1T_XKB_TS-1187A,C318884
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
USBLC6-2SC6,U2,U1_SOT-23-6,C7519
XC6206P332MR,U4,U3_SOT-23-3,C5446
