Ref,Val,Package,PosX,PosY,Rot,Side
"C3","30p","C1_C_0402_1005Metric",180.009000,-19.036700,0.000000,bottom
"C4","30p","C1_C_0402_1005Metric",182.009000,-19.036700,0.000000,bottom
"C5","100n","C1_C_0402_1005Metric",177.009000,-4.636700,0.000000,bottom
"C6","100n","C1_C_0402_1005Metric",188.809000,-11.536700,0.000000,bottom
"C7","100n","C1_C_0402_1005Metric",176.809000,-2.636700,0.000000,bottom
"C8","10u","C148_C_0603_1608Metric",189.509000,-9.036700,0.000000,bottom
"C9","100n","C1_C_0402_1005Metric",186.009000,-19.036700,0.000000,bottom
"C10","1u","C148_C_0603_1608Metric",188.509000,-19.036700,0.000000,bottom
"C11","100n","C1_C_0402_1005Metric",184.009000,-19.036700,0.000000,bottom
"C12","2.2u","C148_C_0603_1608Metric",203.009000,-3.036700,0.000000,bottom
"C13","2.2u","C148_C_0603_1608Metric",201.209000,-0.736700,0.000000,bottom
"C14","2.2u","C148_C_0603_1608Metric",174.009000,-18.036700,0.000000,bottom
"C15","2.2u","C148_C_0603_1608Metric",194.009000,-19.036700,0.000000,bottom
"R4","12k","R3_R_0402_1005Metric",176.809000,-1.236700,90.000000,bottom
"C1","10u","C148_C_0603_1608Metric",202.209000,-0.736700,0.000000,top
"C2","1u","C148_C_0603_1608Metric",201.209000,-13.236700,0.000000,top
"F1","0.5A","F1_Fuse_0805_2012Metric",200.209000,2.763300,0.000000,top
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",192.209000,4.113300,180.000000,top
"J2","FFC_12P","FFC_12P_1.00mm_TopContact",157.509000,-9.236700,-90.000000,top
"J3","FFC_12P","FFC_12P_1.00mm_TopContact",208.909000,-9.236700,90.000000,top
"R1","12k","R3_R_0402_1005Metric",191.209000,-7.236700,0.000000,top
"R2","5.1k","R3_R_0402_1005Metric",187.209000,-3.236700,0.000000,top
"R3","5.1k","R3_R_0402_1005Metric",194.209000,-15.236700,0.000000,top
"SW1","TS-1187A","SW1_SW_Push_1P1T_XKB_TS-1187A",170.709000,2.763300,0.000000,top
"SW2","TS-1187A","SW1_SW_Push_1P1T_XKB_TS-1187A",166.709000,-3.236700,0.000000,top
"U1","AT32F405RCT7","U4_LQFP-64_10x10mm_P0.5mm",181.709000,-9.236700,0.000000,top
"U2","USBLC6-2SC6","U1_SOT-23-6",192.709000,-3.736700,0.000000,top
"U3","TLV75733PDBV","U2_SOT-23-5",198.709000,-3.736700,0.000000,top
"U4","XC6206P332MR","U3_SOT-23-3",170.709000,-13.236700,0.000000,top
"Y1","12MHz","Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm",170.709000,-8.236700,0.000000,top
