Ref,Val,Package,PosX,PosY,Rot,Side
L-AML1,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm,36.284700,-64.977000,90.000000,bottom
L-AML2,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm,55.784700,-65.477000,90.000000,bottom
L-AML3,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm,94.284800,-65.977000,90.000000,bottom
L-AML4,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm,117.784800,-67.977000,90.000000,bottom
L-CL1A,100n,C1_C_0402_1005Metric,4.830000,-2.625000,0.000000,bottom
L-CL1B,4.7n,C1_C_0402_1005Metric,18.030000,-16.425000,0.000000,bottom
L-CL2A,100n,C1_C_0402_1005Metric,23.880000,-2.625000,0.000000,bottom
L-CL2B,4.7n,C1_C_0402_1005Metric,37.080000,-16.425000,0.000000,bottom
L-CL3A,100n,C1_C_0402_1005Metric,42.930000,-2.625000,0.000000,bottom
L-CL3B,4.7n,C1_C_0402_1005Metric,56.130000,-16.425000,0.000000,bottom
L-CL4A,100n,C1_C_0402_1005Metric,62.016700,-2.631000,0.122000,bottom
L-CL4B,4.7n,C1_C_0402_1005Metric,75.187300,-16.459000,0.122000,bottom
L-CL5A,100n,C1_C_0402_1005Metric,81.929900,-2.786400,2.185000,bottom
L-CL5B,4.7n,C1_C_0402_1005Metric,94.594100,-17.079600,2.185000,bottom
L-CL6A,100n,C1_C_0402_1005Metric,103.217000,-3.782800,5.012000,bottom
L-CL6B,4.7n,C1_C_0402_1005Metric,115.161000,-18.683200,5.012000,bottom
L-CL7A,100n,C1_C_0402_1005Metric,124.332500,-5.747200,6.500000,bottom
L-CL7B,4.7n,C1_C_0402_1005Metric,135.885500,-20.952800,6.500000,bottom
L-CL8A,100n,C1_C_0402_1005Metric,7.688000,-21.675000,0.000000,bottom
L-CL8B,4.7n,C1_C_0402_1005Metric,20.888000,-35.475000,0.000000,bottom
L-CL9A,100n,C1_C_0402_1005Metric,31.500000,-21.675000,0.000000,bottom
L-CL9B,4.7n,C1_C_0402_1005Metric,44.700000,-35.475000,0.000000,bottom
L-CL10A,100n,C1_C_0402_1005Metric,50.550000,-21.675000,0.000000,bottom
L-CL10B,4.7n,C1_C_0402_1005Metric,63.750000,-35.475000,0.000000,bottom
L-CL11A,100n,C1_C_0402_1005Metric,69.794500,-21.708900,0.665000,bottom
L-CL11B,4.7n,C1_C_0402_1005Metric,82.833500,-35.661100,0.665000,bottom
L-CL12A,100n,C1_C_0402_1005Metric,90.345400,-22.104300,3.302000,bottom
L-CL12B,4.7n,C1_C_0402_1005Metric,102.728600,-36.641700,3.302000,bottom
L-CL13A,100n,C1_C_0402_1005Metric,111.784600,-23.521900,5.971000,bottom
L-CL13B,4.7n,C1_C_0402_1005Metric,123.477400,-38.620100,5.971000,bottom
L-CL14A,100n,C1_C_0402_1005Metric,132.238500,-25.698200,6.500000,bottom
L-CL14B,4.7n,C1_C_0402_1005Metric,143.791500,-40.903800,6.500000,bottom
L-CL15A,100n,C1_C_0402_1005Metric,17.000000,-49.000000,0.000000,bottom
L-CL15B,4.7n,C1_C_0402_1005Metric,17.000000,-45.000000,0.000000,bottom
L-CL16A,100n,C1_C_0402_1005Metric,35.310000,-40.725000,0.000000,bottom
L-CL16B,4.7n,C1_C_0402_1005Metric,48.510000,-54.525000,0.000000,bottom
L-CL17A,100n,C1_C_0402_1005Metric,54.360000,-40.725000,0.000000,bottom
L-CL17B,4.7n,C1_C_0402_1005Metric,67.560000,-54.525000,0.000000,bottom
L-CL18A,100n,C1_C_0402_1005Metric,73.728900,-40.780300,1.102000,bottom
L-CL18B,4.7n,C1_C_0402_1005Metric,86.661100,-54.831700,1.102000,bottom
L-CL19A,100n,C1_C_0402_1005Metric,94.611600,-41.352400,3.869000,bottom
L-CL19B,4.7n,C1_C_0402_1005Metric,106.850400,-56.011600,3.869000,bottom
L-CL20A,100n,C1_C_0402_1005Metric,116.010800,-42.965700,6.268000,bottom
L-CL20B,4.7n,C1_C_0402_1005Metric,127.625200,-58.124300,6.268000,bottom
L-CL21A,100n,C1_C_0402_1005Metric,9.116000,-59.775000,0.000000,bottom
L-CL21B,4.7n,C1_C_0402_1005Metric,22.316000,-73.575000,0.000000,bottom
L-CL22A,100n,C1_C_0402_1005Metric,40.073000,-59.775000,0.000000,bottom
L-CL22B,4.7n,C1_C_0402_1005Metric,53.273000,-73.575000,0.000000,bottom
L-CL23A,100n,C1_C_0402_1005Metric,59.132600,-59.776500,0.030000,bottom
L-CL23B,4.7n,C1_C_0402_1005Metric,72.325400,-73.583500,0.030000,bottom
L-CL24A,100n,C1_C_0402_1005Metric,78.813500,-59.879200,1.772000,bottom
L-CL24B,4.7n,C1_C_0402_1005Metric,91.580500,-74.080800,1.772000,bottom
L-CL25A,100n,C1_C_0402_1005Metric,99.986400,-60.712700,4.583000,bottom
L-CL25B,4.7n,C1_C_0402_1005Metric,112.041600,-75.523300,4.583000,bottom
L-CL26A,100n,C1_C_0402_1005Metric,121.235400,-62.553300,6.469000,bottom
L-CL26B,4.7n,C1_C_0402_1005Metric,132.796600,-77.752700,6.469000,bottom
L-CL27A,100n,C1_C_0402_1005Metric,14.200000,-87.000000,0.000000,bottom
L-CL27B,4.7n,C1_C_0402_1005Metric,14.200000,-83.000000,0.000000,bottom
L-CL29A,100n,C1_C_0402_1005Metric,21.022000,-78.825000,0.000000,bottom
L-CL29B,4.7n,C1_C_0402_1005Metric,34.222000,-92.625000,0.000000,bottom
L-CL31A,100n,C1_C_0402_1005Metric,40.073000,-78.825000,0.000000,bottom
L-CL31B,4.7n,C1_C_0402_1005Metric,53.273000,-92.625000,0.000000,bottom
L-CL32A,100n,C1_C_0402_1005Metric,78.681300,-79.062500,1.778000,bottom
L-CL32B,4.7n,C1_C_0402_1005Metric,91.446700,-93.265500,1.778000,bottom
L-CL33A,100n,C1_C_0402_1005Metric,117.194500,-81.408500,5.955000,bottom
L-CL33B,4.7n,C1_C_0402_1005Metric,128.891500,-96.503500,5.955000,bottom
