Ref,Val,Package,PosX,PosY,Rot,Side
"AMR1","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",270.000000,-48.000000,-90.000000,bottom
"AMR2","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",269.500000,-40.000000,-90.000000,bottom
"AMR3","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",233.880000,-60.672000,3.000000,bottom
"AMR4","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",227.000000,-82.425000,90.000000,bottom
"AMR5","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",296.500000,-49.500000,-90.000000,bottom
"CMR1","100n","C1_C_0402_1005Metric",263.447300,-51.648600,0.000000,bottom
"CMR2","100n","C1_C_0402_1005Metric",262.947300,-43.648600,0.000000,bottom
"CMR3","100n","C1_C_0402_1005Metric",233.717700,-57.576200,3.000000,bottom
"CMR4","100n","C1_C_0402_1005Metric",233.552700,-78.851400,0.000000,bottom
"CMR5","100n","C1_C_0402_1005Metric",289.947300,-53.148600,0.000000,bottom
"CR1A","100n","C1_C_0402_1005Metric",224.472100,-3.223100,3.000000,bottom
"CR1B","4.7n","C1_C_0402_1005Metric",238.376300,-16.313300,3.000000,bottom
"CR2A","100n","C1_C_0402_1005Metric",243.908000,-2.625000,0.000000,bottom
"CR2B","4.7n","C1_C_0402_1005Metric",257.108000,-16.425000,0.000000,bottom
"CR4A","100n","C1_C_0402_1005Metric",274.483000,-6.925000,0.000000,bottom
"CR4B","4.7n","C1_C_0402_1005Metric",285.583000,-11.525000,0.000000,bottom
"CR6A","100n","C1_C_0402_1005Metric",204.743400,-5.305200,2.000000,bottom
"CR6B","4.7n","C1_C_0402_1005Metric",219.313700,-17.649900,2.000000,bottom
"CR7A","100n","C1_C_0402_1005Metric",185.711900,-8.127100,-1.000000,bottom
"CR7B","4.7n","C1_C_0402_1005Metric",200.908200,-19.692200,-1.000000,bottom
"CR8A","100n","C1_C_0402_1005Metric",166.908000,-11.118600,-4.000000,bottom
"CR8B","4.7n","C1_C_0402_1005Metric",182.104400,-22.683800,-4.000000,bottom
"CR9A","100n","C1_C_0402_1005Metric",236.288000,-21.675000,0.000000,bottom
"CR9B","4.7n","C1_C_0402_1005Metric",249.488000,-35.475000,0.000000,bottom
"CR10A","100n","C1_C_0402_1005Metric",255.338000,-21.675000,0.000000,bottom
"CR10B","4.7n","C1_C_0402_1005Metric",268.538000,-35.475000,0.000000,bottom
