Item,Quantity,Reference Designators,Description,Package,Assembly Type,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Substitution Allowed,Special Instructions
1,1,CTL-F1,0.5A,F1_Fuse_0805_2012Metric,SMT,BHFUSE,BSMD0805-050-24V,LCSC,C910822,Written approval only,Substitution only with written approval
2,5,"CTL-C5,CTL-C6,CTL-C7,CTL-C9,CTL-C11",100n,C1_C_0402_1005Metric,SMT,Samsung,CL05B104KO5NNNC,LCSC,C1525,Written approval only,Substitution only with written approval
3,2,"CTL-C1,CTL-C8",10u,C148_C_0603_1608Metric,SMT,CCTC,TCC0603X5R106M6R3CT,LCSC,C380318,Written approval only,Substitution only with written approval
4,1,CTL-Y1,12MHz,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm,SMT,Yangxing,X322512MSB4SI,LCSC,C9002,Written approval only,Substitution only with written approval
5,2,"CTL-R1,CTL-R4",12k,R3_R_0402_1005Metric,SMT,UNI-ROYAL,0402WGF1202TCE,LCSC,C25752,Written approval only,Substitution only with written approval
6,2,"CTL-C2,CTL-C10",1u,C148_C_0603_1608Metric,SMT,Murata,GRM188R71A105KA61D,LCSC,C97888,Written approval only,Substitution only with written approval
7,4,"CTL-C12,CTL-C13,CTL-C14,CTL-C15",2.2u,C148_C_0603_1608Metric,SMT,Samsung,CL10B225KP8NFNC,LCSC,C3905270,Written approval only,Substitution only with written approval
8,2,"CTL-C3,CTL-C4",30p,C1_C_0402_1005Metric,SMT,CCTC,TCC0402C0G300J500AT,LCSC,C466228,Written approval only,Substitution only with written approval
9,2,"CTL-R2,CTL-R3",5.1k,R3_R_0402_1005Metric,SMT,UNI-ROYAL,0402WGF5101TCE,LCSC,C25905,Written approval only,Substitution only with written approval
10,2,"LS-PS1,RS-PS1",12-position 1.27 mm SMT spring-loaded connector,MillMax_854-22-012-30-004101,SMT,Mill-Max,854-22-012-30-004101,PCBWay turnkey quote or customer consigned,,No,NO SUBSTITUTE; mechanically critical; manual SMT placement acceptable; spring contacts face Hall-PCB target
11,1,CTL-U1,ARM microcontroller,U4_LQFP-64_10x10mm_P0.5mm,SMT,Artery,AT32F405RCT7,LCSC,C47090415,Written approval only,Substitution only with written approval
12,2,"CTL-J2,CTL-J3",FFC_12P,FFC_12P_1.00mm_TopContact,SMT,BOOMELE,1.0-12P,LCSC,C20111,Written approval only,Top-contact orientation; verify cable-entry direction in assembly drawing
13,2,"LS-JF1,RS-JF1",12-position 1.00 mm top-contact FPC/FFC ZIF connector,FFC_12P_1.00mm_TopContact,SMT,BOOMELE,1.0-12P,LCSC,C20111,Written approval only,Top-contact orientation; verify cable-entry direction in assembly drawing
14,1,CTL-U3,TLV75733PDBV,U2_SOT-23-5,SMT,Texas Instruments,TLV75733PDBVR,LCSC,C485517,Written approval only,Substitution only with written approval
15,2,"CTL-SW1,CTL-SW2",TS-1187A,SW1_SW_Push_1P1T_XKB_TS-1187A,SMT,XKB,TS-1187A-B-A-B,LCSC,C318884,Written approval only,Substitution only with written approval
16,1,CTL-J1,USB Type-C receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,SMT,HRO,TYPE-C-31-M-12,LCSC,C165948,Written approval only,"Verify shell stakes, pin 1, and connector mouth direction"
17,1,CTL-U2,USBLC6-2SC6,U1_SOT-23-6,SMT,STMicroelectronics,USBLC6-2SC6,LCSC,C7519,Written approval only,Substitution only with written approval
18,1,CTL-U4,XC6206P332MR,U3_SOT-23-3,SMT,Torex,XC6206P332MR-G,LCSC,C5446,Written approval only,Substitution only with written approval
