Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
CTL-C1,47.500000,-7.500000,Top,0.000000,10u,C148_C_0603_1608Metric
CTL-C10,33.800000,-25.800000,Bottom,0.000000,1u,C148_C_0603_1608Metric
CTL-C11,29.300000,-25.800000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CTL-C12,48.300000,-9.800000,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
CTL-C13,46.500000,-7.500000,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
CTL-C14,19.300000,-24.800000,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
CTL-C15,39.300000,-25.800000,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
CTL-C2,46.500000,-20.000000,Top,0.000000,1u,C148_C_0603_1608Metric
CTL-C3,25.300000,-25.800000,Bottom,0.000000,30p,C1_C_0402_1005Metric
CTL-C4,27.300000,-25.800000,Bottom,0.000000,30p,C1_C_0402_1005Metric
CTL-C5,22.300000,-11.400000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CTL-C6,34.100000,-18.300000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CTL-C7,22.100000,-9.400000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CTL-C8,34.800000,-15.800000,Bottom,0.000000,10u,C148_C_0603_1608Metric
CTL-C9,31.300000,-25.800000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CTL-F1,45.500000,-4.000000,Top,0.000000,0.5A,F1_Fuse_0805_2012Metric
CTL-J1,37.500000,-2.650000,Top,180.000000,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12
CTL-J2,2.800000,-16.000000,Top,-90.000000,FFC_12P,FFC_12P_1.00mm_TopContact
CTL-J3,54.200000,-16.000000,Top,90.000000,FFC_12P,FFC_12P_1.00mm_TopContact
CTL-R1,36.500000,-14.000000,Top,0.000000,12k,R3_R_0402_1005Metric
CTL-R2,32.500000,-10.000000,Top,0.000000,5.1k,R3_R_0402_1005Metric
CTL-R3,39.500000,-22.000000,Top,0.000000,5.1k,R3_R_0402_1005Metric
CTL-R4,22.100000,-8.000000,Bottom,90.000000,12k,R3_R_0402_1005Metric
CTL-SW1,16.000000,-4.000000,Top,0.000000,TS-1187A,SW1_SW_Push_1P1T_XKB_TS-1187A
CTL-SW2,12.000000,-10.000000,Top,0.000000,TS-1187A,SW1_SW_Push_1P1T_XKB_TS-1187A
CTL-U1,27.000000,-16.000000,Top,0.000000,AT32F405RCT7,U4_LQFP-64_10x10mm_P0.5mm
CTL-U2,38.000000,-10.500000,Top,0.000000,USBLC6-2SC6,U1_SOT-23-6
CTL-U3,44.000000,-10.500000,Top,0.000000,TLV75733PDBV,U2_SOT-23-5
CTL-U4,16.000000,-20.000000,Top,0.000000,XC6206P332MR,U3_SOT-23-3
CTL-Y1,16.000000,-15.000000,Top,0.000000,12MHz,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm
LS-JF1,10.000000,-33.000000,Bottom,0.000000,FFC_12P_1.00mm,FFC_12P_1.00mm_TopContact
LS-PS1,10.000000,-33.000000,Top,180.000000,854-22-012-30-004101,MillMax_854-22-012-30-004101
RS-JF1,47.000000,-33.000000,Bottom,0.000000,FFC_12P_1.00mm,FFC_12P_1.00mm_TopContact
RS-PS1,47.000000,-33.000000,Top,0.000000,854-22-012-30-004101,MillMax_854-22-012-30-004101
