Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
LH-AML1,44.000000,-66.987500,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
LH-AML2,63.500000,-67.487500,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
LH-AML3,102.000100,-67.987500,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
LH-AML4,125.500100,-69.987500,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
LH-CL10A,58.265300,-23.685500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL10B,71.465300,-37.485500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL11A,77.509800,-23.719400,Bottom,0.665000,100n,C1_C_0402_1005Metric
LH-CL11B,90.548800,-37.671600,Bottom,0.665000,4.7n,C1_C_0402_1005Metric
LH-CL12A,98.060700,-24.114800,Bottom,3.302000,100n,C1_C_0402_1005Metric
LH-CL12B,110.443900,-38.652200,Bottom,3.302000,4.7n,C1_C_0402_1005Metric
LH-CL13A,119.499900,-25.532400,Bottom,5.971000,100n,C1_C_0402_1005Metric
LH-CL13B,131.192700,-40.630600,Bottom,5.971000,4.7n,C1_C_0402_1005Metric
LH-CL14A,139.953800,-27.708700,Bottom,6.500000,100n,C1_C_0402_1005Metric
LH-CL14B,151.506800,-42.914300,Bottom,6.500000,4.7n,C1_C_0402_1005Metric
LH-CL15A,24.715300,-51.010500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL15B,24.715300,-47.010500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL16A,43.025300,-42.735500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL16B,56.225300,-56.535500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL17A,62.075300,-42.735500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL17B,75.275300,-56.535500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL18A,81.444200,-42.790800,Bottom,1.102000,100n,C1_C_0402_1005Metric
LH-CL18B,94.376400,-56.842200,Bottom,1.102000,4.7n,C1_C_0402_1005Metric
LH-CL19A,102.326900,-43.362900,Bottom,3.869000,100n,C1_C_0402_1005Metric
LH-CL19B,114.565700,-58.022100,Bottom,3.869000,4.7n,C1_C_0402_1005Metric
LH-CL1A,12.545300,-4.635500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL1B,25.745300,-18.435500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL20A,123.726100,-44.976200,Bottom,6.268000,100n,C1_C_0402_1005Metric
LH-CL20B,135.340500,-60.134800,Bottom,6.268000,4.7n,C1_C_0402_1005Metric
LH-CL21A,16.831300,-61.785500,Bottom,0.000000,100n,C1_C_0402_1005Metric
LH-CL21B,30.031300,-75.585500,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
LH-CL22A,47.788300,-61.785500,Bottom,0.000000,100n,C1_C_0402_1005Metric
