Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
C1,202.209000,-0.736700,Top,0.000000,10u,C148_C_0603_1608Metric
C10,188.509000,-19.036700,Bottom,0.000000,1u,C148_C_0603_1608Metric
C11,184.009000,-19.036700,Bottom,0.000000,100n,C1_C_0402_1005Metric
C12,203.009000,-3.036700,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
C13,201.209000,-0.736700,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
C14,174.009000,-18.036700,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
C15,194.009000,-19.036700,Bottom,0.000000,2.2u,C148_C_0603_1608Metric
C2,201.209000,-13.236700,Top,0.000000,1u,C148_C_0603_1608Metric
C3,180.009000,-19.036700,Bottom,0.000000,30p,C1_C_0402_1005Metric
C4,182.009000,-19.036700,Bottom,0.000000,30p,C1_C_0402_1005Metric
C5,177.009000,-4.636700,Bottom,0.000000,100n,C1_C_0402_1005Metric
C6,188.809000,-11.536700,Bottom,0.000000,100n,C1_C_0402_1005Metric
C7,176.809000,-2.636700,Bottom,0.000000,100n,C1_C_0402_1005Metric
C8,189.509000,-9.036700,Bottom,0.000000,10u,C148_C_0603_1608Metric
C9,186.009000,-19.036700,Bottom,0.000000,100n,C1_C_0402_1005Metric
F1,200.209000,2.763300,Top,0.000000,0.5A,F1_Fuse_0805_2012Metric
J1,192.209000,4.113300,Top,180.000000,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12
J2,157.509000,-9.236700,Top,-90.000000,FFC_12P,FFC_12P_1.00mm_TopContact
J3,208.909000,-9.236700,Top,90.000000,FFC_12P,FFC_12P_1.00mm_TopContact
R1,191.209000,-7.236700,Top,0.000000,12k,R3_R_0402_1005Metric
R2,187.209000,-3.236700,Top,0.000000,5.1k,R3_R_0402_1005Metric
R3,194.209000,-15.236700,Top,0.000000,5.1k,R3_R_0402_1005Metric
R4,176.809000,-1.236700,Bottom,90.000000,12k,R3_R_0402_1005Metric
SW1,170.709000,2.763300,Top,0.000000,TS-1187A,SW1_SW_Push_1P1T_XKB_TS-1187A
SW2,166.709000,-3.236700,Top,0.000000,TS-1187A,SW1_SW_Push_1P1T_XKB_TS-1187A
U1,181.709000,-9.236700,Top,0.000000,AT32F405RCT7,U4_LQFP-64_10x10mm_P0.5mm
U2,192.709000,-3.736700,Top,0.000000,USBLC6-2SC6,U1_SOT-23-6
U3,198.709000,-3.736700,Top,0.000000,TLV75733PDBV,U2_SOT-23-5
U4,170.709000,-13.236700,Top,0.000000,XC6206P332MR,U3_SOT-23-3
Y1,170.709000,-8.236700,Top,0.000000,12MHz,Y1_Crystal_SMD_3225-4Pin_3.2x2.5mm
