Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
AML1,36.284700,-64.977000,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
AML2,55.784700,-65.477000,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
AML3,94.284800,-65.977000,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
AML4,117.784800,-67.977000,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
CL10A,50.550000,-21.675000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL10B,63.750000,-35.475000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL11A,69.794500,-21.708900,Bottom,0.665000,100n,C1_C_0402_1005Metric
CL11B,82.833500,-35.661100,Bottom,0.665000,4.7n,C1_C_0402_1005Metric
CL12A,90.345400,-22.104300,Bottom,3.302000,100n,C1_C_0402_1005Metric
CL12B,102.728600,-36.641700,Bottom,3.302000,4.7n,C1_C_0402_1005Metric
CL13A,111.784600,-23.521900,Bottom,5.971000,100n,C1_C_0402_1005Metric
CL13B,123.477400,-38.620100,Bottom,5.971000,4.7n,C1_C_0402_1005Metric
CL14A,132.238500,-25.698200,Bottom,6.500000,100n,C1_C_0402_1005Metric
CL14B,143.791500,-40.903800,Bottom,6.500000,4.7n,C1_C_0402_1005Metric
CL15A,17.000000,-49.000000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL15B,17.000000,-45.000000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL16A,35.310000,-40.725000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL16B,48.510000,-54.525000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL17A,54.360000,-40.725000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL17B,67.560000,-54.525000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL18A,73.728900,-40.780300,Bottom,1.102000,100n,C1_C_0402_1005Metric
CL18B,86.661100,-54.831700,Bottom,1.102000,4.7n,C1_C_0402_1005Metric
CL19A,94.611600,-41.352400,Bottom,3.869000,100n,C1_C_0402_1005Metric
CL19B,106.850400,-56.011600,Bottom,3.869000,4.7n,C1_C_0402_1005Metric
CL1A,4.830000,-2.625000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL1B,18.030000,-16.425000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL20A,116.010800,-42.965700,Bottom,6.268000,100n,C1_C_0402_1005Metric
CL20B,127.625200,-58.124300,Bottom,6.268000,4.7n,C1_C_0402_1005Metric
CL21A,9.116000,-59.775000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL21B,22.316000,-73.575000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL22A,40.073000,-59.775000,Bottom,0.000000,100n,C1_C_0402_1005Metric
CL22B,53.273000,-73.575000,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
CL23A,59.132600,-59.776500,Bottom,0.030000,100n,C1_C_0402_1005Metric
CL23B,72.325400,-73.583500,Bottom,0.030000,4.7n,C1_C_0402_1005Metric
CL24A,78.813500,-59.879200,Bottom,1.772000,100n,C1_C_0402_1005Metric
CL24B,91.580500,-74.080800,Bottom,1.772000,4.7n,C1_C_0402_1005Metric
CL25A,99.986400,-60.712700,Bottom,4.583000,100n,C1_C_0402_1005Metric
